@fechaActualizacion,@id,IDIOMA,EMAIL,TELEFONO,FAX,NOMBRE_TUI,DESCRIPCION_TUI,CONTENT_URL,LATITUD_TUI,LONGITUD_TUI,Categoria_1,Categoria_2,DIRECCION_TUI,CATEGORIA_TUI,Categoria_3,Categoria_4,PK,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,NOMBRE_VIA,CLASE_VIAL,NUM,LOCALIDAD,PROVINCIA,CODIGO_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,COORDENADA_X,COORDENADA_Y,ORIENTACION,Categoria_5,PLANTA,PUERTA,ESCALERAS,Categoria_6,Categoria_7
2025-07-01,107028.0,es,madrid.alcala@easyhotel.com,+34 910 059 666,,easyHotel Madrid Alcalá,"Habitaciones de diseño, con todas las comodidades y a precios económicos. Así es easyHotel Madrid Alcalá, un alojamiento situado en el distrito de San Blas-Canillejas y tan solo 5 minutos a pie de una de las estaciones de la línea 7 del metro. Gracias a esta conexión con el metro de Madrid desde el hotel se puede llegar al centro de la capital en media hora. También hay diversas líneas de autobús que pasan por el entorno. Todo ello facilita la conexión del hotel con grandes espacios de negocios y eventos como Ifema, los estadios Metropolitano y Santiago Bernabéu y el espacio Movistar Arena.El hotel tiene 98 habitaciones, que han sido diseñadas con materiales reciclados y sostenibles, y cuenta con un restaurante en el que ofrece desayuno bufé, aparcamiento vigilado con carga para vehículos eléctricos y una terraza.",https://www.esmadrid.com/alojamientos/easyhotel-madrid-alcala,40.4314186,-3.63202,Hoteles,,"Miguel Fleta, 4, 28037, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,107016.0,es,plazaespana@cataloniahotels.com,+34 91 791 15 55,,Catalonia Plaza España Hotel & Spa,"En el corazón de la Gran Vía, cerca de Plaza de España, y en un histórico edificio de mediados del siglo XX, se encuentra este hotel de cuatro estrellas que esconde un spa y un rooftop con piscina.Catalonia Plaza España Hotel & Spa cuenta con 164 habitaciones de diferentes categorías, y entre sus instalaciones destaca su área wellness y spa, con piscina hidromasaje, circuito de hidroterapia y cabina de hielo. Ofrece también tratamientos de cabina y dispone de una sala de fitness. Además, está dotado con dos salas de reuniones con vistas a la Gran Vía y equipamiento de última tecnología.La propuesta culinaria del hotel está centrada en dos espacios gastronómicos: Aromes, una cafetería a pie de calle donde disfrutar de postres, cafés, cócteles, vinos de selección y variedad de platos; y Pulso by Eboca, un restaurante que ofrece un menú ideado para compartir. ",https://www.esmadrid.com/alojamientos/catalonia-plaza-espana-hotel-spa,40.4228955,-3.7094414,Hoteles,,"Gran Vía, 70, 28013, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,106995.0,es,hc0u5@accor.com,+34 919 43 23 29,,Ibis Styles Madrid Airport Valdebebas,"Este original hotel de la marca Ibis Styles, ubicado frente a la T4 del Aeropuerto de Madrid, está inspirado en el mundo mágico de 'Alicia en el País de las Maravillas' y combina diseño creativo y sostenibilidad en todas sus instalaciones.Ibis Styles Madrid Airport Valdebebas, con ocho plantas, cuenta con 260 acogedoras y cómodas habitaciones, un restaurante de cocina internacional, Hatsy, una piscina al aire libre en la sexta planta y un rooftop con vistas a la ciudad.El hotel está situado en el corazón de Valdebebas y frente a la T4 del Aeropuerto Adolfo Suárez de Madrid. También está cerca de IFEMA, de la ciudad deportiva del Real Madrid y del estadio Alfredo di Stéfano, así como del Estadio Metropolitano del Atlético de Madrid.Además, es un alojamiento pet friendly y ha sido diseñado con tecnología de última generación para optimizar el consumo energético.",https://www.esmadrid.com/alojamientos/ibis-styles-madrid-airport-valdebebas,40.4864201,-3.6055485,Hoteles,,"Fernando Higueras, 55, 28055, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,106660.0,es,f.comendadoras.santiago@gmail.com,(+34) 91 542 65 82,,Albergue de las Comendadoras de Santiago,"Este nuevo centro de acogida jacobea está orientado principalmente a peregrinos internacionales que entran a España a través de su capital para comenzar el Camino de Santiago y supone que, por primera vez, la ciudad de Madrid cuenta con un albergue estable destinado específicamente a la acogida de peregrinos. El espacio abre sus puertas en esta primera fase con 26 camas. Además. acoge el Centro Internacional del Peregrino ofrecerá asistencia, referencias culturales e históricas y orientación espiritual para quienes se dispongan a iniciar el camino.El nuevo espacio, que ha sido posible gracias a la colaboración de las Comendadoras de Santiago, la Asociación de Astorga y la Red Internacional de Asociaciones Jacobeas, cuenta con financiación europea de los fondos Next Generation EU en el marco de las ayudas Experiencias Turismo España.La apertura del Albergue de las Comendadoras de Santiago supone una recuperación de la tradición jacobea en un enclave histórico al tiempo que fortalece el vínculo de Madrid con el Camino de Santiago y con los miles de peregrinos que lo recorren cada año.",https://www.esmadrid.com/alojamientos/albergue-comendadoras-santiago,40.4274125071,-3.708950008481,Albergues,,"de las Comendadoras, 10,, 28015, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,106629.0,es,alegria@hotelesbestprice.com,+34 910 13 98 72,,Hotel BESTPRICE Madrid Alegría,"La cadena hotelera BESTPRICE vuelve a apostar por Madrid con una nueva apertura que eleva a ocho el número de establecimientos de la marca, gracias a la inauguración de su nuevo hotel en el distrito de San Blas-Canillejas. Se trata de un modelo de hotel boutique económico premium, que combina un diseño de vanguardia con un servicio de primera clase.Este hotel, diseñado por el estudio Marta González Arquitectos, se ha convertido en el nuevo referente de la cadena por su innovador diseño, que incluye un vestíbulo acristalado de doble altura, completamente abierto al espacio ajardinado perimetral.Dispone de 53 habitaciones completamente equipadas, distribuidas en cinco plantas, y ofrece además una amplia terraza chill-out en la primera planta para el disfrute de sus huéspedes.Entre sus servicios destacan la recepción 24 horas con personal, el traslado al aeropuerto y la consigna de equipaje para clientes, entre otros.",https://www.esmadrid.com/alojamientos/hotel-bestprice-madrid-alegria,40.437042,-3.6284725,Hoteles,,"Albasanz, 30, 28037, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12,106186.0,es,hotel.madridcarabanchel@hotelbb.com,+34 910 797 917,,B&B HOTEL Madrid Carabanchel,"El nuevo B&B HOTEL Madrid Carabanchel es un hotel ideal para viajeros que desempeñan sus actividades en el sudoeste de la ciudad. Ubicado estratégicamente en la zona industrial, cuenta con fácil acceso a las principales autovías de Madrid, permitiendo llegar al centro en aproximadamente veinte minutos en coche para que puedas disfrutar de los principales atractivos turísticos del centro.El hotel dispone de 121 habitaciones (dobles matrimoniales, dobles matrimoniales plus, dobles con dos camas e individuales), todas están climatizadas y equipadas con escritorio, baño completo, armario y secador de pelo.Entre sus servicios gratuitos destacan el Wi-Fi de alta velocidad en las habitaciones y las zonas comunes, café y té disponibles las 24 horas, y una sala de reuniones completamente equipada. Además, es un alojamiento Pet Friendly.En cuanto a su servicio de restauración, ofrecen un desayuno buffet all you can eat, con opciones saludables, dulces, saladas y variadas.",https://www.esmadrid.com/alojamientos/bb-hotel-madrid-carabanchel,40.3686686,-3.7423991,Hoteles,,"Aguacate 43-B, 28054, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,105932.0,es,booking@brachmadrid.com,+34 915 463 639,,Brach Madrid,"Brach Madrid, de la cadena Evok, está ubicado en el número 20 de la Gran Vía, en un edificio histórico de 1922 restaurado por el célebre arquitecto Philippe Starck, quien ha combinado nostalgia y modernidad con elementos inspirados en los años 20 y 30 de España.Sus 57 habitaciones y suites transportan a los huéspedes a un viaje romántico y a una sensación de intimidad muy emotiva. La carpintería, el cuero, la cerámica y el mimbre aportan a las estancias la suavidad y la calidez del sol. En el ámbito gastronómico destacan un restaurante que evoca los grandes cafés clásicos, auténticas mecas de la libertad intelectual y artística, donde se ofrecen platos de cocina mediterránea a cargo del chef Adam Bentalha, y un bar inspirado en los cafés de pueblo españoles, con detalles que combinan lo lúdico y lo sofisticado.En la planta baja del hotel se encuentra su pâtisserie, que ofrece dulces para llevar o para disfrutar in situ. Las creaciones del pastelero son exquisitos bocados que reflejan el art de vivre francés.La joya del hotel es La Capsule Wellness, un santuario íntimo en el corazón del hotel que es algo más que un lujoso spa. La Capsule es un espacio de transformación y autoexploración. Embellecida con detalles dorados, su paleta de tonos blancos y puros en más de 400 m² se despliega como una página en blanco para quienes buscan bienestar tanto físico como mental. ",https://www.esmadrid.com/alojamientos/brach-madrid,40.4200581,-3.7000627,Hoteles,,"Gran Vía, 20, 28004, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,105834.0,es,,+34 91-7360105,,"El Autor Hotel Madrid, Autograph Collection","En la calle Zorrilla, a espaldas del Congreso de los Diputados, se encuentra este nuevo hotel de cinco estrellas de la cadena Marriott. Ubicado en un edificio de arquitectura clásica de finales del siglo XIX, el hotel ofrece 50 habitaciones exquisitamente diseñadas, con una decoración elegante y moderna, además de WiFi gratuito y tecnología de última generación.Cada rincón del hotel refleja un compromiso con la sofisticación, desde el ascensor centenario y la escalera de madera original hasta la experiencia gastronómica inmersiva en el restaurante El Pimiento Verde.Entre sus servicios destacan un centro de fitness, una piscina interior y la organización de reuniones y eventos, brindando una experiencia integral para huéspedes y visitantes.",https://www.esmadrid.com/alojamientos/autor-hotel-madrid-autograph-collection,40.4169768,-3.6963031,Hoteles,,"de Zorrilla 19,, 28014, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,105680.0,es,madridlavapies@thelofthostels.com,+ 34 900264222,,The Loft Hostel Madrid Lavapiés,"El barrio de Lavapiés, uno de los barrios más vibrantes y centrales de Madrid, lleno de cultura, diversidad culinaria y calles coloridas, es también el hogar de Loft Hostel Lavapiés. Un albergue boutique con un diseño innovador, donde cada espacio ha sido cuidadosamente diseñado para ofrecer a los huéspedes un ambiente que equilibra un estilo contemporáneo con el confort y la comodidad, respetando la rica identidad cultural de la zona.Disponen de diferentes tipos de habitaciones pensadas para adaptarse a cada viajero: desde habitaciones privadas de 2 camas hasta dormitorios mixtos de hasta 12 camas, incluyendo opciones solo para chicas. Todas las habitaciones cuentan con un diseño acogedor, camas cómodas y literas con cortinas y luz individual, para poder disfrutar de un espacio íntimo y tranquilo.Entre sus servicios destacan una cafetería en el lobby donde saborear un café de tostadores locales o una cerveza de la zona. También disponen de un comedor completamente equipado con microondas, hornos, neveras, máquinas vending y fuente de agua, además de una zona de coworking que combina concentración y confort. Y, para reuniones o trabajo privado, ofrecen dos salas insonorizadas (mute labs) junto con máquinas expendedoras para cualquier necesidad extra. ",https://www.esmadrid.com/alojamientos/loft-hostel-madrid-lavapies,40.4100651,-3.7005546,Albergues,,"de la Esperanza, 4,, 28012, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,105300.0,es,Innside.valdebebas@melia.com,+34 91 335 82 48,,INNSiDE by Meliá Madrid Valdebebas,"Muy cerca del aeropuerto Adolfo Suárez Madrid-Barajas, abre sus puertas este moderno hotel de la cadena Meliá, diseñado desde sus inicios para ser el escenario ideal de los mejores eventos en Madrid.El hotel, de cuatro estrellas, cuenta con 273 confortables habitaciones equipadas con tecnología Chromecast y clasificadas en 16 categorías diferentes. Entre sus principales servicios destacan un gimnasio abierto las 24 horas, piscina exterior, servicio de traslado al aeropuerto, parking privado, alquiler de bicicletas, recepción 24 horas, servicio de habitaciones, Wi-Fi de alta velocidad y lavandería.En cuanto a su propuesta gastronómica, ofrece dos espacios destacados: Yatta, un restaurante de estilo Mid Century abierto todo el día, que combina cocina internacional con fusión para todos los paladares; y Sideral, un bar de ambiente chic y vanguardista al aire libre, con vistas al Parque Forestal de Valdebebas, donde se pueden disfrutar de exquisitas bebidas y aperitivos.El gran atractivo del hotel es su centro de conferencias, siendo el único en Madrid con un Conference Center propio. Este versátil espacio cuenta con 18 salas de reuniones modulables, distribuidas en más de 3.200 m², ideal para conferencias, seminarios y eventos privados.",https://www.esmadrid.com/alojamientos/innside-melia-madrid-valdebebas,40.4913941,-3.6082354,Hoteles,,"de José Antonio Fernández Ordóñez, 55, 28055, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
